address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2415 Queens Plz N UNIT 9A,Long Island City,NY,11101,1585000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2415-Queens-Plz-N-UNIT-9A-Long-Island-City-NY-11101/89027421_zpid/
2728 Thomson Ave UNIT 245,Long Island City,NY,11101,1680000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2728-Thomson-Ave-UNIT-245-Long-Island-City-NY-11101/83053636_zpid/
1333 Jackson Ave # PHB,Long Island City,NY,11101,3495000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1333-Jackson-Ave-PHB-Long-Island-City-NY-11101/2093432679_zpid/
2728 Thomson Ave UNIT 801,Long Island City,NY,11101,1289000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2728-Thomson-Ave-UNIT-801-Long-Island-City-NY-11101/83054512_zpid/
2716 41st Ave APT 5A,Long Island City,NY,11101,919000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2716-41st-Ave-APT-5A-Long-Island-City-NY-11101/83053367_zpid/
2728 Thomson Ave UNIT 540,Long Island City,NY,11101,2200000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2728-Thomson-Ave-UNIT-540-Long-Island-City-NY-11101/83053927_zpid/
1018 47th Ave,Long Island City,NY,11101,2550000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1018-47th-Ave-Long-Island-City-NY-11101/31933772_zpid/
1040 46th Rd # GARDEN-B,Long Island City,NY,11101,1350000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1040-46th-Rd-GARDEN-B-Long-Island-City-NY-11101/2093327977_zpid/
13-33 Jackson Ave # 4A,Long Island City,NY,11101,1228000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/13-33-Jackson-Ave-4A-Long-Island-City-NY-11101/2099062207_zpid/
2728 Thomson Ave UNIT 814,Long Island City,NY,11101,1750000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2728-Thomson-Ave-UNIT-814-Long-Island-City-NY-11101/83051713_zpid/
13-33 Jackson Ave # 10A,Long Island City,NY,11101,1758000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/13-33-Jackson-Ave-10A-Long-Island-City-NY-11101/2098737104_zpid/
2721 44th Dr # 2202,Long Island City,NY,11101,1760000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2721-44th-Dr-2202-Long-Island-City-NY-11101/2094017158_zpid/
1050 Jackson Ave APT 4A,Long Island City,NY,11101,1075000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1050-Jackson-Ave-APT-4A-Long-Island-City-NY-11101/2093004019_zpid/
2110 44th Dr # PHD,Long Island City,NY,11101,1215000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2110-44th-Dr-PHD-Long-Island-City-NY-11101/2094858807_zpid/
2626 Jackson Ave # 2,Long Island City,NY,11101,1280000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2626-Jackson-Ave-2-Long-Island-City-NY-11101/2123998211_zpid/
519 Borden Ave APT 1C,Long Island City,NY,11101,819000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/519-Borden-Ave-APT-1C-Long-Island-City-NY-11101/2107329975_zpid/
2110 44th Dr # PHC,Long Island City,NY,11101,1385000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2110-44th-Dr-PHC-Long-Island-City-NY-11101/2093215535_zpid/
2626 Jackson Ave # 02,Long Island City,NY,11101,1280000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2626-Jackson-Ave-02-Long-Island-City-NY-11101/2095382384_zpid/
2728 Thomson Ave UNIT 429,Long Island City,NY,11101,1310000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2728-Thomson-Ave-UNIT-429-Long-Island-City-NY-11101/82782873_zpid/
2721 44th Dr # PH21,Long Island City,NY,11101,1675000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2721-44th-Dr-PH21-Long-Island-City-NY-11101/2093112034_zpid/
2728 Thomson Ave UNIT 542,Long Island City,NY,11101,1295000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2728-Thomson-Ave-UNIT-542-Long-Island-City-NY-11101/83050320_zpid/
4260 Crescent St APT 9B,Long Island City,NY,11101,2595000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4260-Crescent-St-APT-9B-Long-Island-City-NY-11101/2095484821_zpid/
2120 45th Ave,Long Island City,NY,11101,3300000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2120-45th-Ave-Long-Island-City-NY-11101/31933885_zpid/
217 51st Ave APT 910,Long Island City,NY,11101,2700000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/217-51st-Ave-APT-910-Long-Island-City-NY-11101/89069392_zpid/
1102 49th Ave APT 2A,Long Island City,NY,11101,1350000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1102-49th-Ave-APT-2A-Long-Island-City-NY-11101/94721244_zpid/
2728 Thomson Ave UNIT 604,Long Island City,NY,11101,1688000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2728-Thomson-Ave-UNIT-604-Long-Island-City-NY-11101/83050527_zpid/
2626 Jackson Ave APT 1002,Long Island City,NY,11101,1798000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2626-Jackson-Ave-APT-1002-Long-Island-City-NY-11101/94721562_zpid/
2728 Thomson Ave UNIT 630,Long Island City,NY,11101,2175000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2728-Thomson-Ave-UNIT-630-Long-Island-City-NY-11101/83056051_zpid/
1314 Jackson Ave APT 1W,Long Island City,NY,11101,875000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1314-Jackson-Ave-APT-1W-Long-Island-City-NY-11101/2113103366_zpid/
31st St,Long Island City,NY,11101,NA,NA,NA,NA,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/154075022_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Pearson St,Long Island City,NY,11101,NA,NA,NA,NA,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/154075181_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
31st St,Long Island City,NY,11101,NA,NA,NA,NA,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/154075226_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
37th St,Long Island City,NY,11101,NA,NA,NA,NA,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/154075366_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Thomson Ave UNIT 330,Long Island City,NY,11101,NA,NA,NA,NA,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/154075370_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
11th St,Long Island City,NY,11101,NA,NA,NA,NA,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/154075378_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
